AGENCY_AREA,CATCHMENT,WATERBODY_TYPE,WATERBODY_TYPE_DESCRIPTION,WATER_BODY,SITE_ID,SITE_VERSION,NGR_PREFIX,EASTING,NORTHING,NGR_10_FIG,FULL_EASTING,FULL_NORTHING,WFD_WATERBODY_ID,SLOPE,DIST_FROM_SOURCE,SOURCE_ALTITUDE,ALKALINITY,BASE_DATA_DATE,MIN_SAMPLE_DATE,MAX_SAMPLE_DATE,COUNT_OF_SAMPLES,ECN_SITE_MPHYTE
SOUTH WEST - CORNWALL,FAL,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,CARNON RIVER,8710,1,SW,77480,41280,SW7748041280,177480,041280,GB108048001230,2.9,6.000,82.0,10.1,01/01/1995,08/09/2011,08/09/2011,1,False
SOUTH WEST - DEVON,AXE (DEVON),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,CORRY BROOK,9904,1,SY,25072,99812,SY2507299812,325072,099812,GB108045009300,7.5,9.000,262.0,66.0,04/10/2012,23/06/2010,23/06/2010,1,False
SOUTH WEST - CORNWALL,COASTAL - 18A,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,CAERHAYS STREAM,8745,1,SW,96100,43360,SW9610043360,196100,043360,GB108048002250,9.5,9.750,99.0,45.8,01/01/1995,11/06/2008,11/06/2008,1,False
SOUTH WEST - CORNWALL,ST AUSTELL,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,ST AUSTELL RIVER,8763,1,SX,01700,47300,SX0170047300,201700,047300,GB108048002280,4.4,10.000,270.0,18.6,01/01/1995,11/06/2008,18/08/2015,4,False
SOUTH WEST - CORNWALL,PAR,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,PAR RIVER,8770,1,SX,05640,57170,SX0564057170,205640,057170,GB108048002290,13.3,8.150,155.0,15.9,01/01/1995,30/06/2010,30/06/2010,1,False
SOUTH WEST - CORNWALL,PAR,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,PAR RIVER,8790,1,SX,07255,55483,SX0725555483,207255,055483,GB108048002290,3.2,11.550,155.0,15.8,01/01/1995,18/08/2015,18/08/2015,1,False
SOUTH WEST - CORNWALL,FAL,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,ALLEN,8806,1,SW,82200,47040,SW8220047040,182200,047040,GB108048002330,5.4,6.270,115.0,43.4,01/01/1995,11/08/2008,11/08/2008,1,False
SOUTH WEST - CORNWALL,ST AUSTELL,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,ST AUSTELL RIVER,8817,1,SX,01100,50800,SX0110050800,201100,050800,GB108048002280,,,,,,05/06/1995,05/09/1996,4,False
SOUTH WEST - CORNWALL,CAMEL,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,MENALHYL,10049,1,SW,90460,64120,SW9046064120,190460,064120,GB108049000070,7.1,5.250,148.0,33.9,01/01/1995,22/08/2007,16/06/2010,3,False
SOUTH WEST - CORNWALL,CAMEL,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,CAMEL,10050,1,SX,10430,82780,SX1043082780,210430,082780,GB108049007060,9.5,7.350,277.0,21.1,01/01/1995,08/07/2010,08/07/2010,1,False
SOUTH WEST - CORNWALL,CAMEL,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,ALLEN (CAMEL),10055,1,SX,07170,80530,SX0717080530,207170,080530,GB108049007050,8.3,6.200,242.0,44.6,01/01/1995,28/06/2007,06/08/2010,3,False
SOUTH WEST - CORNWALL,TAMAR,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,HENNARD STREAM,8850,1,SX,42420,93800,SX4242093800,242420,093800,GB108047008020,45.0,3.900,200.0,16.0,04/10/2012,19/08/2011,19/08/2011,1,False
SOUTH WEST - CORNWALL,TAMAR,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,LYD,8858,1,SX,38930,84770,SX3893084770,238930,084770,GB108047007930,3.1,21.700,539.0,29.7,01/01/1995,24/09/2013,08/07/2015,2,False
SOUTH WEST - CORNWALL,TAMAR,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,OTTERY,8906,1,SX,28440,87820,SX2844087820,228440,087820,GB108047007780,2.4,19.150,257.0,28.6,01/01/1995,02/08/2004,02/08/2004,1,False
SOUTH WEST - CORNWALL,CAMEL,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,CAMEL,10066,1,SX,10890,85590,SX1089085590,210890,085590,GB108049007060,11.1,4.300,277.0,22.9,01/01/1995,15/08/2007,08/07/2010,3,False
SOUTH WEST - CORNWALL,GANNEL,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,GANNEL,10081,1,SW,88458,58254,SW8845858254,188458,058254,GB108049000230,8.3,2.850,112.0,37.1,01/01/1995,27/06/2007,20/07/2011,3,False
SOUTH WEST - CORNWALL,COASTAL - 26A,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,WANSON WATER,10127,1,SS,19620,00990,SS1962000990,219620,100990,GB108049007230,22.2,3.450,113.0,73.5,01/01/1995,26/07/2012,26/07/2012,1,False
SOUTH WEST - NORTH WESSEX,BY BROOK,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BY BROOK,7689,1,ST,84100,77100,ST8410077100,384100,177100,GB109053027480,4.2,12.600,,230.6,01/01/1995,02/08/2002,06/10/2003,2,False
SOUTH WEST - CORNWALL,TAMAR,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,INNY,8927,1,SX,20520,84182,SX2052084182,220520,084182,GB108047007760,7.4,8.000,295.0,77.5,02/03/2021,16/09/2009,01/07/2014,4,False
SOUTH WEST - CORNWALL,TAMAR,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,TAMAR,8965,1,SX,35560,84920,SX3556084920,235560,084920,GB108047007940,1.6,42.900,220.0,40.6,01/01/1995,03/08/2010,03/08/2010,1,False
SOUTH WEST - SOUTH WESSEX,FROME,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,SYDLING WATER,8985,1,SY,64000,94600,SY6400094600,364000,094600,GB108044009700,4.0,7.500,140.0,205.3,01/01/1995,03/06/2004,03/06/2004,1,False
SOUTH WEST - SOUTH WESSEX,POOLE HARBOUR,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,CORFE,10210,1,SY,95850,82389,SY9585082389,395850,082389,GB108044010020,4.0,8.000,85.0,177.8,01/01/1995,10/06/2004,10/06/2004,1,False
SOUTH WEST - NORTH WESSEX,ISLE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,FIVEHEAD,10225,1,ST,35880,21915,ST3588021915,335880,121915,GB108052015241,1.8,13.050,,225.0,01/01/1995,23/06/2003,23/06/2003,1,False
SOUTH WEST - NORTH WESSEX,BRISTOL AVON,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,CONYGRE BROOK,7756,1,ST,69575,61489,ST6957561489,369575,161489,GB109053021880,8.7,5.900,,276.0,01/01/1995,10/09/2003,10/09/2003,1,False
SOUTH WEST - NORTH WESSEX,BRISTOL AVON,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,CHARLTON STREAM,7773,1,ST,95694,87708,ST9569487708,395694,187708,GB109053027770,1.4,8.200,,234.2,01/01/1995,21/07/2004,27/09/2004,2,False
SOUTH WEST - SOUTH WESSEX,PIDDLE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BERE STREAM,9040,1,SY,85892,91964,SY8589291964,385892,091964,GB108044009630,3.3,15.000,45.0,232.8,01/01/1995,23/06/2004,02/07/2013,5,False
SOUTH WEST - SOUTH WESSEX,UPPER H AVON,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,HAMPSHIRE AVON,9108,1,SU,12923,32911,SU1292332911,412923,132911,GB108043022352,1.3,55.000,140.0,226.9,01/01/1995,16/08/2012,13/08/2019,4,False
SOUTH WEST - NORTH WESSEX,YEO,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,CORTON DENHAM STREAM,10257,1,ST,57024,22358,ST5702422358,357024,122358,GB108052015620,1.9,9.100,95.0,250.5,01/01/1995,26/07/2012,22/09/2015,2,False
SOUTH WEST - NORTH WESSEX,MARDEN,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,RIVERS BROOK,7816,1,SU,00700,70250,SU0070070250,400700,170250,GB109053022050,6.2,3.800,,232.1,01/01/1995,21/07/2004,27/09/2004,2,False
SOUTH WEST - SOUTH WESSEX,LOWER & MIDDLE H AVON,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,HAMPSHIRE AVON,9142,1,SU,14900,03600,SU1490003600,414900,103600,GB108043015840,1.1,96.250,170.0,195.4,01/01/1995,04/08/2008,04/08/2008,1,False
SOUTH WEST - SOUTH WESSEX,LOWER & MIDDLE H AVON,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,DITCHEND BROOK,9146,1,SU,15113,13257,SU1511313257,415113,113257,GB108043015770,2.0,8.000,105.0,18.8,01/01/1995,29/06/2007,14/07/2017,4,False
SOUTH WEST - SOUTH WESSEX,NADDER,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,NADDER,9153,1,ST,98768,29691,ST9876829691,398768,129691,GB108043022470,2.0,13.500,140.0,186.8,01/01/1995,01/08/2011,27/08/2019,3,False
SOUTH WEST - NORTH WESSEX,SOMERSET FROME/MELLS,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,SOMERSET FROME,7947,1,ST,77600,42400,ST7760042400,377600,142400,GB109053022080,,,,,,21/05/2002,23/07/2002,2,False
SOUTH WEST - DEVON,OTTER,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,WOLF (DEVON),9311,1,ST,14320,00600,ST1432000600,314320,100600,GB108045009190,8.3,7.150,250.0,116.0,04/10/2012,22/08/2012,17/06/2015,2,False
SOUTH WEST - DEVON,EXE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,CULM,9353,1,SX,95890,99800,SX9589099800,295890,099800,GB108045014970,1.7,40.370,264.0,112.0,01/01/2013,11/09/2012,11/09/2018,3,False
SOUTH WEST - DEVON,AXE (DEVON),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,COLY,9400,1,SY,18850,95330,SY1885095330,318850,095330,GB108045008830,11.3,4.280,232.0,96.0,09/12/2013,21/08/2002,21/08/2002,1,False
SOUTH WEST - NORTH WESSEX,BRUE/HARTLAKE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,WHITELAKE,8339,1,ST,54711,40310,ST5471140310,354711,140310,GB108052021173,0.4,10.900,70.0,275.3,01/01/1995,31/08/2004,23/07/2015,3,False
SOUTH WEST - DEVON,EXE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,EXE,9559,1,SS,85750,37950,SS8575037950,285750,137950,GB108045020930,11.9,12.600,454.0,24.9,01/01/1995,22/08/2007,17/07/2014,4,False
SOUTH WEST - DEVON,EXE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,COLE BROOK,9638,1,SX,77790,99600,SX7779099600,277790,099600,GB108045009290,4.2,5.100,105.0,104.4,01/01/1995,05/09/2012,01/07/2015,2,False
SOUTH WEST - SOUTH WESSEX,LYDDEN,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,LYDDEN,8543,1,ST,74270,12906,ST7427012906,374270,112906,GB108043015940,2.7,13.000,180.0,224.0,04/10/2012,11/05/2011,08/09/2017,3,False
SOUTH WEST - SOUTH WESSEX,LYDDEN,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,LYDDEN,8577,1,ST,76421,15716,ST7642115716,376421,115716,GB108043015970,2.0,31.500,180.0,183.1,01/01/1995,15/06/2011,10/07/2014,3,False
SOUTH WEST - SOUTH WESSEX,LOWER & MIDDLE STOUR,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,NORTH WINTERBOURNE,8606,1,SY,94231,99728,SY9423199728,394231,099728,GB108043015990,1.2,19.000,105.0,239.3,01/01/1995,31/07/2007,27/06/2018,2,False
SOUTH WEST - SOUTH WESSEX,UPPER STOUR,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,STOUR (SW - UPPER),8608,1,ST,80700,25900,ST8070025900,380700,125900,GB108043022490,1.7,12.000,250.0,136.2,01/01/1995,01/09/2005,01/09/2005,1,False
SOUTH WEST - SOUTH WESSEX,LOWER & MIDDLE STOUR,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,STOUR (SW - LOWER & MIDDLE),8619,1,ST,92400,02000,ST9240002000,392400,102000,GB108043016052,0.7,59.000,250.0,207.8,01/01/1995,12/07/2005,02/06/2006,2,False
THAMES - WEST,KENNET,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BAUGHURST BROOK,35101,1,SU,55643,63097,SU5564363097,455643,163097,GB106039017200,0.9,7.300,105.0,123.0,01/01/1995,16/07/2015,16/07/2015,1,False
THAMES - SOUTH EAST,WEY (THAMES),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,OCK(SURREY),35162,1,SU,96543,43651,SU9654343651,496543,143651,GB106039017790,3.1,6.800,90.0,132.0,01/01/1995,22/08/2013,25/09/2020,4,False
THAMES - NORTH EAST,INGREBOURNE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,INGREBOURNE,33784,1,TQ,57950,93000,TQ5795093000,557950,193000,GB106037028130,14.0,0.900,,,,13/08/2002,13/08/2002,1,False
THAMES - WEST,CHERWELL AND RAY (OXON),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,FARTHINGHOE STREAM,35266,1,SP,49616,39232,SP4961639232,449616,239232,GB106039037290,3.3,8.710,125.0,173.0,01/01/1995,25/07/2012,31/08/2016,2,False
THAMES - WEST,OCK,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,MARCHAM BROOK,35272,1,SU,45530,96122,SU4553096122,445530,196122,GB106039023420,1.4,13.400,110.0,247.0,01/01/1995,19/08/2013,19/08/2013,1,False
THAMES - NORTH EAST,COLNE (THAMES),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,CHESS,33841,1,SP,95840,01322,SP9584001322,495840,201322,GB106039029870,6.2,0.500,115.0,251.0,04/10/2012,11/09/2018,30/07/2021,4,False
THAMES - NORTH EAST,LEE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,TURKEY BROOK,33892,1,TQ,35400,98750,TQ3540098750,535400,198750,GB106038033180,1.5,12.000,93.0,162.0,04/10/2012,18/08/2011,26/06/2015,2,False
THAMES - WEST,PANG AND SUL,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,PANG,35443,1,SU,59031,72038,SU5903172038,459031,172038,GB106039023300,2.0,15.200,95.0,218.0,01/01/1995,16/08/2006,29/08/2018,5,False
THAMES - NORTH EAST,RODING,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,CRIPSEY BROOK,34001,1,TL,53350,06850,TL5335006850,553350,206850,GB106037033470,2.0,8.580,82.0,231.0,01/01/1995,13/08/2010,24/09/2021,5,False
THAMES - NORTH EAST,COLNE (THAMES),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,COLNE BROOK,34013,1,TQ,01900,72300,TQ0190072300,501900,172300,GB106039023000,0.7,57.900,142.0,229.0,04/10/2012,06/08/2002,20/07/2015,3,False
THAMES - NORTH EAST,RODING,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BROOKHOUSE BROOK,34032,1,TQ,47800,98000,TQ4780098000,547800,198000,GB106037028150,1.7,7.400,115.0,206.0,01/01/1995,28/08/2007,30/09/2019,5,False
THAMES - NORTH EAST,RODING,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,RODING,34034,1,TQ,50300,97400,TQ5030097400,550300,197400,GB106037028180,1.0,43.030,105.0,226.0,01/01/1995,17/07/2002,30/09/2019,10,False
THAMES - NORTH EAST,COLNE (THAMES),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,TYKESWATER,34056,1,TL,15600,01500,TL1560001500,515600,201500,GB106039023100,2.2,10.470,100.0,148.0,01/01/1995,11/08/2005,24/06/2013,2,False
THAMES - NORTH EAST,COLNE (THAMES),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BULBOURNE,34143,1,TL,03400,06300,TL0340006300,503400,206300,GB106039029890,3.3,8.600,115.0,250.0,01/02/2013,06/08/2012,26/06/2021,8,False
THAMES - NORTH EAST,LEE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,LEE (THAMES),34158,1,TL,38000,12700,TL3800012700,538000,212700,GB106038033240,0.9,50.610,117.0,248.0,01/01/1995,25/07/2002,31/08/2011,3,False
THAMES - SOUTH EAST,MOLE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,MOLE (THAMES),35604,1,TQ,26600,44000,TQ2660044000,526600,144000,GB106039017621,1.0,17.000,,,,22/08/2006,22/08/2006,1,False
THAMES - NORTH EAST,LEE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,TURKEY BROOK,34181,1,TQ,36200,98400,TQ3620098400,536200,198400,GB106038033180,1.5,12.550,126.0,183.0,08/07/2019,12/06/2018,12/06/2018,1,False
THAMES - NORTH EAST,COLNE (THAMES),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,MISBOURNE,34208,1,TQ,01050,89100,TQ0105089100,501050,189100,GB106039029830,4.1,20.520,,,,10/08/2016,08/06/2018,3,False
THAMES - SOUTH EAST,LODDON,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,EMM BROOK,35748,1,SU,78548,72447,SU7854872447,478548,172447,GB106039023130,1.7,10.760,76.0,164.0,04/10/2012,06/07/2012,04/09/2018,3,False
SOUTH WEST - CORNWALL,FOWEY,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,CARDINHAM WATER,10705,1,SX,11100,64440,SX1110064440,211100,064440,GB108048001450,1.0,8.450,228.0,19.0,01/01/1995,27/06/2008,30/07/2015,3,False
THAMES - SOUTH EAST,WANDLE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,WANDLE,34278,1,TQ,27100,67800,TQ2710067800,527100,167800,GB106039023460,3.0,18.200,131.0,,,16/06/2006,29/07/2013,7,False
THAMES - NORTH EAST,COLNE (THAMES),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,MISBOURNE,34294,1,TQ,01300,88350,TQ0130088350,501300,188350,GB106039029830,4.5,21.630,130.0,275.0,01/01/1995,09/07/2012,09/07/2012,1,False
THAMES - NORTH EAST,COLNE (THAMES),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,CHESS,34310,1,TQ,02648,98966,TQ0264898966,502648,198966,GB106039029870,2.2,9.370,108.0,251.0,01/01/2002,07/07/2002,01/09/2020,6,False
THAMES - NORTH EAST,COLNE (THAMES),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,GADE,34315,1,TQ,09072,96255,TQ0907296255,509072,196255,GB106039029860,2.5,21.790,120.0,243.0,01/01/1995,07/07/2002,17/08/2011,2,False
THAMES - WEST,WINDRUSH,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,WINDRUSH,35777,1,SP,28247,11829,SP2824711829,428247,211829,GB106039030440,1.7,45.620,220.0,181.0,01/01/1995,14/07/2004,14/07/2004,1,False
THAMES - SOUTH EAST,LODDON,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,WHITEWATER (LODDON),35810,1,SU,74102,63339,SU7410263339,474102,163339,GB106039017240,0.9,19.561,86.0,157.0,01/01/1995,22/08/1996,02/07/2014,4,False
SOUTH WEST - CORNWALL,LOOE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,EAST LOOE RIVER,10734,1,SX,23250,64680,SX2325064680,223250,064680,GB108048001440,9.5,3.700,,38.8,01/01/1995,01/09/1999,01/09/1999,1,False
SOUTH WEST - CORNWALL,TAVY,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,LUMBURN,10757,1,SX,46650,71780,SX4665071780,246650,071780,GB108047007840,6.9,9.200,222.0,53.1,01/01/1995,18/09/2009,18/09/2009,1,False
SOUTH WEST - CORNWALL,TAVY,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,MILTON BROOK,10761,1,SX,48290,64790,SX4829064790,248290,064790,GB108047003880,36.0,4.700,180.0,40.7,01/01/1995,11/08/2010,05/08/2011,2,False
THAMES - NORTH EAST,RIB,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,RIB,34345,1,TL,38799,24667,TL3879924667,538799,224667,GB106038040140,2.5,15.050,147.0,285.0,01/01/1995,24/08/2010,31/07/2017,2,False
THAMES - NORTH EAST,RODING,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,RODING,34352,1,TL,56104,04058,TL5610404058,556104,204058,GB106037033500,1.3,28.730,105.0,250.0,01/01/1995,26/07/2012,26/07/2012,1,False
THAMES - WEST,RAY (WILTS),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,RAY (WILTS),35957,1,SU,13412,84886,SU1341284886,413412,184886,GB106039023320,2.0,7.780,107.0,258.0,01/01/1995,01/07/1994,25/07/2019,12,False
THAMES - SOUTH EAST,MOLE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,REDHILL BROOK,35960,1,TQ,29800,48900,TQ2980048900,529800,148900,GB106039017590,2.6,9.920,123.0,192.0,04/10/2012,28/07/2011,28/07/2011,1,False
THAMES - WEST,KENNET,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,OG,35965,1,SU,19475,69594,SU1947569594,419475,169594,GB106039023180,2.0,10.260,,242.0,01/01/1995,03/08/2006,30/08/2007,2,False
THAMES - SOUTH EAST,MOLE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,MOLE (THAMES),35991,1,TQ,26950,43360,TQ2695043360,526950,143360,GB106039017621,1.3,15.608,,93.8,01/01/1995,01/07/1994,17/07/2013,13,False
THAMES - SOUTH EAST,MOLE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,MOLE (THAMES),36006,1,TQ,13000,65810,TQ1300065810,513000,165810,GB106039017622,0.6,70.106,,135.0,01/01/1995,05/08/2002,29/08/2012,3,False
THAMES - SOUTH EAST,MOLE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,MOLE (THAMES),36008,1,TQ,17242,51318,TQ1724251318,517242,151318,GB106039017621,1.4,40.000,,118.0,04/10/2012,01/07/1994,24/06/2003,5,False
SOUTH WEST - SOUTH WESSEX,BRIT,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BRIT,10948,1,SY,46468,92079,SY4646892079,346468,092079,GB108044009540,2.4,13.200,150.0,206.6,01/01/1995,19/08/2003,03/08/2004,2,False
SOUTH WEST - NORTH WESSEX,PILL RIVER/WASHFORD STREAM,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,WASHFORD,10992,1,ST,05754,42515,ST0575442515,305754,142515,GB108051020560,7.7,14.900,300.0,116.9,01/01/1995,09/09/2004,27/06/2013,3,False
THAMES - SOUTH EAST,LODDON,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,LODDON,36032,1,SU,74840,68370,SU7484068370,474840,168370,GB106039023160,0.4,32.255,126.0,180.0,01/01/1995,29/08/2007,12/07/2010,2,False
THAMES - SOUTH EAST,LODDON,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,LODDON,36041,1,SU,68039,55187,SU6803955187,468039,155187,GB106039017080,3.0,7.790,90.0,256.0,04/10/2012,23/08/2005,07/07/2021,14,False
THAMES - WEST,THAME,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,KINGSEY CUTTLE BROOK,36070,1,SP,73566,06443,SP7356606443,473566,206443,GB106039030200,1.0,7.920,115.0,255.0,01/01/1995,22/08/2013,22/08/2013,1,False
THAMES - WEST,KENNET,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,KENNET,36082,1,SU,49096,67252,SU4909667252,449096,167252,GB106039017420,2.0,60.900,190.0,242.0,01/01/1995,29/08/2006,01/09/2011,3,False
THAMES - SOUTH EAST,LODDON,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BLACKWATER (THAMES),33215,1,SU,87094,57785,SU8709457785,487094,157785,GB106039017180,0.9,13.850,126.0,148.0,01/01/1995,01/07/1994,11/08/2010,6,False
THAMES - NORTH EAST,STORT,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,PISHIOBURY BROOK,33296,1,TL,48321,13856,TL4832113856,548321,213856,GB106038033281,4.0,27.000,115.0,264.0,01/02/2013,20/09/2013,20/08/2015,2,False
THAMES - SOUTH EAST,LODDON,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,FLEET BROOK,34657,1,SU,80735,56521,SU8073556521,480735,156521,GB106039017120,1.1,5.505,181.0,91.5,01/01/1995,22/06/2010,22/06/2010,1,False
THAMES - WEST,EVENLODE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,EVENLODE,36131,1,SP,23547,26390,SP2354726390,423547,226390,GB106039037410,1.1,13.340,,185.0,01/01/1995,30/06/2004,31/08/2005,2,False
THAMES - WEST,KENNET,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,ENBORNE,36147,1,SU,52055,63875,SU5205563875,452055,163875,GB106039017260,1.5,17.000,155.0,131.0,01/01/1995,16/07/2015,16/07/2015,1,False
THAMES - WEST,CHERWELL AND RAY (OXON),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,GALLOS BROOK,34769,1,SP,52980,14550,SP5298014550,452980,214550,GB106039030130,0.9,14.400,119.0,228.0,30/01/2015,14/08/2014,14/08/2014,1,False
THAMES - SOUTH EAST,THAMES SOURCE TO TEDDINGTON (SE SECTION),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,THE CUT,36170,1,SU,89580,79350,SU8958079350,489580,179350,GB106039023510,0.9,20.262,,194.0,01/01/1995,20/08/2003,30/06/2004,2,False
THAMES - SOUTH EAST,WEY (THAMES),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,CRANLEIGH WATERS,36182,1,SU,99850,46330,SU9985046330,499850,146330,GB106039017810,0.9,25.550,,76.1,01/01/1995,15/09/2003,06/07/2004,2,False
THAMES - WEST,THAMES SOURCE TO TEDDINGTON (W SECTION),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,CHURN,36222,1,SP,01908,07912,SP0190807912,401908,207912,GB106039029810,3.8,14.470,200.0,155.0,01/01/1995,07/07/2004,09/08/2013,5,False
THAMES - WEST,CHERWELL AND RAY (OXON),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,CHERWELL,36262,1,SP,48026,25095,SP4802625095,448026,225095,GB106039037430,0.7,61.810,160.0,191.0,01/01/1995,05/08/2002,05/08/2002,1,False
THAMES - SOUTH EAST,THAMES SOURCE TO TEDDINGTON (SE SECTION),WBDT,DITCH: Artificial channel used primarily for land drainage,BOVENEY DITCH,36279,1,SU,94889,78081,SU9488978081,494889,178081,GB106039023540,2.1,4.090,27.0,246.0,01/01/1995,21/06/2010,26/07/2016,3,False
THAMES - NORTH EAST,BEANE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BEANE,33490,1,TL,29246,26517,TL2924626517,529246,226517,GB106038040110,3.3,9.170,149.0,184.0,04/10/2012,28/08/2012,28/08/2012,1,False
THAMES - WEST,KENNET,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,KENNET,34999,1,SU,64911,70828,SU6491170828,464911,170828,GB106039023140,1.2,87.260,,,,03/08/2006,03/08/2006,1,False
ANGLIAN - NORTHERN,EAST LINCS,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,NORTH FORTY FOOT DRAIN,187145,1,TF,29109,44726,TF2910944726,529109,344726,GB105030056680,,,,,,19/08/2015,19/08/2015,1,False
